
 Lista de Imýveis da Caixa;;Data de geraýýo:;27/08/2026;;;;;;;
 Ný do imývel;UF;Cidade;Bairro;Endereýo;Preýo;Valor de avaliaýýo;Desconto;Financiamento;Descriýýo;Modalidade de venda;Link de acesso

 8444429497831 ;PR ;ARAPONGAS ;JARDIM MONACO II ;RUA TINGUACU FERRUGEM, N. 202, UN 02 ;126.926,84;210.000,00;39.56;Nýo;Casa, 71.00 de ýrea total, 69.44 de ýrea privativa, 126.00 de ýrea do terreno, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429497831
 8444417311290 ;PR ;ARAUCARIA ;THOMAZ COELHO ;RUA PASCOAL FERNANDES LEITE, N. 109, Apto 24, BL 01 LT 05 QD J ;132.970,97;220.000,00;39.56;Nýo;Apartamento, 55.52 de ýrea total, 50.54 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417311290
 8444418794899 ;PR ;ARAUCARIA ;THOMAZ COELHO ;RUA PASCOAL FERNANDES LEITE, N. 109, Apto 22, BL 02 ;131.762,14;218.000,00;39.56;Nýo;Apartamento, 55.23 de ýrea total, 50.26 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418794899
 8787708795629 ;PR ;ARAUCARIA ;THOMAZ COELHO ;RUA LUIZ RODRIGUES VELHO, N. 185, Apto 24, BL 04, 01 VAGA DESCOBERTA ;139.015,11;230.000,00;39.56;Nýo;Apartamento, 54.29 de ýrea total, 48.96 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708795629
 8787709543186 ;PR ;ARAUCARIA ;TINDIQUERA ;RUA MARIA SOBANIA, N. 72, Apto 404, BL 05A, VAGA N 54 ;126.926,84;210.000,00;39.56;Nýo;Apartamento, 46.56 de ýrea total, 38.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709543186
 8787704551849 ;PR ;ARAUCARIA ;COSTEIRA ;RUA PRESIDENTE COSTA E SILVA, N. 630, Apto 112, BL 01, VAGA N 15, ;125.718,01;208.000,00;39.56;Nýo;Apartamento, 0.00 de ýrea total, 39.88 de ýrea privativa, 0.00 de ýrea do terreno, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704551849
 8787711765301 ;PR ;ARAUCARIA ;CAMPINA DA BARRA ;RUA DAS CAMELIAS, N. 951, Apto 24, BL 06, VAGA 29 ;119.673,87;198.000,00;39.56;Nýo;Apartamento, 44.97 de ýrea total, 41.70 de ýrea privativa, 0.00 de ýrea do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711765301
 8787714508229 ;PR ;ARAUCARIA ;IGUACU ;RUA PARANAGUA, N. 520, Apto 305, BL E, VAGA N 56 ;157.362,26;257.000,00;38.77;Nýo;Apartamento, 0.00 de ýrea total, 46.68 de ýrea privativa, 0.00 de ýrea do terreno, 1 vaga(s) de garagem.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714508229
 1444404764633 ;PR ;ARAUCARIA ;FAZENDA VELHA ;RUA HELENA PIETRZYK KURLETTO, N. 337, CS 01 QD 17 LT 34 ;152.955,43;240.000,00;36.27;Nýo;Casa, 60.05 de ýrea total, 60.05 de ýrea privativa, 143.81 de ýrea do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitaýýo Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404764633
 8787708089821 ;PR ;ARAUCARIA ;TINDIQUERA ;RUA MARIA SOBANIA, N. 72, Apto 204, BLOCO 5A, 2ý PAVIMENTO VAGA  Ný43 ;221.414,40;221.414,40;0.00;Nýo;Apartamento, 46.56 de ýrea total, 38.40 de ýrea privativa, 0.00 de ýrea do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilýo SFI - Edital ýnico;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708089821
